study	n1	n2	mean1	sd1	mean2	sd2	adults	YBOCS	threshold	
Carmona	18	18	773.34	55.80	822.09	55.80	0	21.39	corr	
Christian	21	21	NA	NA	NA	NA	1	27.00	uncorr	
Gilbert	25	20	NA	NA	NA	NA	1	26.90	corr	
Gilbert_ped	10	10	NA	NA	NA	NA	0	26.50	corr	
Heuvel	55	50	685.00	74.00	708.00	72.00	1	22.83	uncorr	
Kim	25	25	849.80	83.30	834.40	71.10	1	24.20	corr	
Pujol	72	72	739.00	82.00	763.00	78.00	1	26.70	uncorr	
Riffkin	18	18	NA	NA	NA	NA	1	23.30	corr	
Soriano	30	30	NA	NA	NA	NA	1	21.00	uncorr	
Szeszko	37	26	776.00	69.00	747.00	68.00	0	24.90	corr	
Valente	19	15	826.78	43.59	836.47	62.79	1	24.60	corr	
Yoo	71	71	740.01	65.63	737.75	62.69	1	22.84	uncorr	
